"Bike_Demoed__c","Bike_Sold__c","Campaign__c","Event__c","Lead_Number__c"
"The Scrambler","Multistrada 1200 S","Demo Day","Demo Event",260
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",261
"The Scrambler","Monster 797","Demo Day","Demo Event",262
"The Scrambler","Monster 797","Demo Day","Demo Event",263
"Multistrada 1200 S","The Scrambler","Demo Day","Demo Event",264
"The Scrambler","The Scrambler","Demo Day","Demo Event",265
"The Scrambler","Multistrada 1200 S","Demo Day","Demo Event",266
"The Scrambler","Monster 797","Demo Day","Demo Event",267
"The Scrambler","The Scrambler","Demo Day","Demo Event",268
"The Scrambler","Multistrada 1200 S","Demo Day","Demo Event",269
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",270
"The Scrambler","Monster 797","Demo Day","Demo Event",271
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",272
"The Scrambler","Monster 797","Demo Day","Demo Event",273
"The Scrambler","The Scrambler","Demo Day","Demo Event",274
"Monster 797","Multistrada 1200 S","Demo Day","Demo Event",275
"The Scrambler","Monster 797","Demo Day","Demo Event",276
"The Scrambler","Monster 797","Demo Day","Demo Event",277
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",278
,"The Scrambler","Trade Show","Training Event",1139
,"Multistrada 1200 S","Trade Show","Training Event",1140
,"Monster 797","Trade Show","Training Event",1141
,"Monster 797","Trade Show","Training Event",1142
,"Monster 797","Trade Show","Training Event",1143
,"Multistrada 1200 S","Trade Show","Training Event",1144
,"The Scrambler","Trade Show","Training Event",1145
,"Multistrada 1200 S","Trade Show","Training Event",1146
,"Monster 797","Trade Show","Training Event",1147
,"Monster 797","Trade Show","Training Event",1148
,"Monster 797","Trade Show","Training Event",1149
,"The Scrambler","Trade Show","Training Event",1150
,"The Scrambler","Trade Show","Training Event",1151
,"Multistrada 1200 S","Trade Show","Training Event",1152
,"Monster 797","Trade Show","Training Event",1153
,"The Scrambler","Trade Show","Training Event",1154
,"Multistrada 1200 S","Trade Show","Training Event",1155
,"Monster 797","Trade Show","Training Event",1156
,"Multistrada 1200 S","Trade Show","Training Event",1157
,"Monster 797","Trade Show","Training Event",1158
,"The Scrambler","Trade Show","Training Event",1159
,"Multistrada 1200 S","Trade Show","Training Event",1160
,"Monster 797","Trade Show","Training Event",1161
,"Monster 797","Trade Show","Training Event",1162
,"Monster 797","Trade Show","Training Event",1163
,"Multistrada 1200 S","Trade Show","Training Event",1164
,"The Scrambler","Trade Show","Training Event",1165
,"Multistrada 1200 S","Trade Show","Training Event",1166
,"Monster 797","Trade Show","Training Event",1138
,"Monster 797","Trade Show","Training Event",1167
,"Monster 797","Trade Show","Training Event",1168
,"Monster 797","Trade Show","Training Event",1169
,"The Scrambler","Trade Show","Training Event",1170
,"The Scrambler","Trade Show","Training Event",1171
,"Multistrada 1200 S","Trade Show","Training Event",1172
,"Monster 797","Trade Show","Training Event",1173
,"The Scrambler","Trade Show","Training Event",1174
,"Multistrada 1200 S","Trade Show","Training Event",1175
,"Monster 797","Trade Show","Training Event",1176
,"Monster 797","Trade Show","Training Event",1177
,,"Training",,1600
,,"Training",,1601
,,"Training",,1602
,,"Training",,1603
,,"Training",,1604
,,"Training",,1605
,,"Training",,1606
,,"Training",,1607
,,"Training",,1608
,,"Training",,1609
,,"Training",,1610
,,"VIP Club",,1611
,,"VIP Club",,1612
,,"VIP Club",,1613
,,"VIP Club",,1614
,,"VIP Club",,1615
,,"VIP Club",,1616
,,"VIP Club",,1617
,,"VIP Club",,1618
,,"VIP Club",,1619
,,"VIP Club",,1620
,,"VIP Club",,1621
,,"VIP Club",,1622
,,"VIP Club",,1623
,,"VIP Club",,1624
,,"VIP Club",,1625
,,"VIP Club",,1626
,,"VIP Club",,1627
,,"VIP Club",,1628
,,"VIP Club",,1629
,,"VIP Club",,1630
,,"VIP Club",,1631
,,"VIP Club",,1632
,,"VIP Club",,1633
,,"VIP Club",,1634
,,"VIP Club",,1635
,,"VIP Club",,1636
,,"VIP Club",,1637
,,"VIP Club",,1638
,,"VIP Club",,1639
,,"VIP Club",,1640
,,"VIP Club",,1641
,,"VIP Club",,1642
,,"VIP Club",,1643
,,"VIP Club",,1644
,,"VIP Club",,1645
,,"VIP Club",,1646
,,"VIP Club",,1647
,,"VIP Club",,1648
,,"VIP Club",,1649
,"Monster 797","Trade Show","Training Event",1178
,"Monster 797","Trade Show","Training Event",1179
,"The Scrambler","Trade Show","Training Event",1180
,"The Scrambler","Trade Show","Training Event",1181
,"Multistrada 1200 S","Trade Show","Training Event",1182
,"Monster 797","Trade Show","Training Event",1183
,"The Scrambler","Trade Show","Training Event",1184
,"Multistrada 1200 S","Trade Show","Training Event",1185
,"Monster 797","Trade Show","Training Event",1186
,"Monster 797","Trade Show","Training Event",1187
,"Monster 797","Trade Show","Training Event",1188
,"The Scrambler","Trade Show","Training Event",1189
,"The Scrambler","Trade Show","Training Event",1190
,"Multistrada 1200 S","Trade Show","Training Event",1191
,"Monster 797","Trade Show","Training Event",1192
,"The Scrambler","Trade Show","Training Event",1193
,"Multistrada 1200 S","Trade Show","Training Event",1194
,"Monster 797","Trade Show","Training Event",1195
,"Monster 797","Trade Show","Training Event",1196
,"Monster 797","Trade Show","Training Event",1197
,"The Scrambler","Trade Show","Training Event",1198
,"The Scrambler","Trade Show","Training Event",1199
,"Multistrada 1200 S","Trade Show","Training Event",1200
,"The Scrambler","Trade Show","Training Event",1201
,"Multistrada 1200 S","Trade Show","Training Event",1202
,"Monster 797","Trade Show","Training Event",1203
,"Monster 797","Trade Show","Training Event",1204
,"Monster 797","Trade Show","Training Event",1205
,"The Scrambler","Trade Show","Training Event",1206
,"The Scrambler","Trade Show","Training Event",1207
,"Multistrada 1200 S","Trade Show","Training Event",1208
,"Monster 797","Trade Show","Training Event",1209
,"The Scrambler","Trade Show","Training Event",1210
,"Multistrada 1200 S","Trade Show","Training Event",1211
,"Monster 797","Trade Show","Training Event",1212
,"Monster 797","Trade Show","Training Event",1213
,"Monster 797","Trade Show","Training Event",1214
,"Multistrada 1200 S","Trade Show","Training Event",1215
,"The Scrambler","Trade Show","Training Event",1216
,"Multistrada 1200 S","Trade Show","Training Event",1217
,,"VIP Club",,1650
,,"VIP Club",,1651
,,"VIP Club",,1652
,,"VIP Club",,1653
,,"VIP Club",,1654
,,"VIP Club",,1655
,,"VIP Club",,1656
,,"VIP Club",,1657
,,"VIP Club",,1658
,,"VIP Club",,1659
,,"VIP Club",,1660
,,"VIP Club",,1661
,,"VIP Club",,1662
,,"VIP Club",,1663
,,"VIP Club",,1664
,,"VIP Club",,1665
,,"VIP Club",,1666
,,"VIP Club",,1667
,,"VIP Club",,1668
,,"VIP Club",,1669
,,"VIP Club",,1670
,,"VIP Club",,1671
,,"VIP Club",,1672
,,"VIP Club",,1673
,,"VIP Club",,1674
,,"VIP Club",,1675
,,"VIP Club",,1676
,,"VIP Club",,1677
,,"VIP Club",,1678
,,"VIP Club",,1679
,,"VIP Club",,1680
,,"VIP Club",,1681
,,"VIP Club",,1682
,,"VIP Club",,1683
,,"VIP Club",,1684
,,"VIP Club",,1685
,,"VIP Club",,1686
,,"VIP Club",,1687
,,"VIP Club",,1688
,,"VIP Club",,1689
,,"VIP Club",,1690
,,"VIP Club",,1691
,,"VIP Club",,1692
,,"VIP Club",,1693
,,"VIP Club",,1694
,,"VIP Club",,1695
,,"VIP Club",,1696
,,"VIP Club",,1697
,,"VIP Club",,1698
,,"VIP Club",,1699
,,"VIP Club",,1700
,,"VIP Club",,1701
,,"VIP Club",,1702
,,"VIP Club",,1703
,,"VIP Club",,1704
,,"VIP Club",,1705
,,"VIP Club",,1706
,,"VIP Club",,1707
,,"VIP Club",,1708
,,"VIP Club",,1709
,,"VIP Club",,1710
,,"VIP Club",,1711
,,"VIP Club",,1712
,,"VIP Club",,1713
,,"VIP Club",,1714
,,"VIP Club",,1715
,,"VIP Club",,1716
,,"VIP Club",,1717
,,"VIP Club",,1718
,,"VIP Club",,1719
,,"VIP Club",,1720
,,"VIP Club",,1721
,,"VIP Club",,1722
,,"VIP Club",,1723
,,"VIP Club",,1724
,,"VIP Club",,1725
,,"VIP Club",,1726
,,"VIP Club",,1727
,,"VIP Club",,1728
,,"VIP Club",,1729
,,"VIP Club",,1730
,,"VIP Club",,1731
,,"VIP Club",,1732
,,"VIP Club",,1733
,,"VIP Club",,1734
,,"VIP Club",,1735
,,"VIP Club",,1736
,,"VIP Club",,1737
,,"VIP Club",,1738
,,"VIP Club",,1739
,,"VIP Club",,1740
,,"VIP Club",,1741
,,"VIP Club",,1742
,,"VIP Club",,1743
"Multistrada 1200 S","The Scrambler","Demo Day","Demo Event",468
"Monster 797","Multistrada 1200 S","Demo Day","Demo Event",469
"Monster 797","Monster 797","Demo Day","Demo Event",470
"Monster 797","The Scrambler","Demo Day","Demo Event",471
"The Scrambler","Multistrada 1200 S","Demo Day","Demo Event",472
"The Scrambler","Monster 797","Demo Day","Demo Event",473
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",474
"Monster 797","Monster 797","Demo Day","Demo Event",475
"The Scrambler","Monster 797","Demo Day","Demo Event",476
"Multistrada 1200 S","The Scrambler","Demo Day","Demo Event",477
"Monster 797","Multistrada 1200 S","Demo Day","Demo Event",478
"The Scrambler","Monster 797","Demo Day","Demo Event",479
"The Scrambler","Monster 797","Demo Day","Demo Event",480
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",481
"Monster 797","The Scrambler","Demo Day","Demo Event",482
"The Scrambler","The Scrambler","Demo Day","Demo Event",483
"Multistrada 1200 S","Multistrada 1200 S","Demo Day","Demo Event",484
"Monster 797","Monster 797","Demo Day","Demo Event",485
"Monster 797","The Scrambler","Demo Day","Demo Event",486
"Monster 797","Multistrada 1200 S","Demo Day","Demo Event",487
"The Scrambler","Monster 797","Demo Day","Demo Event",488
"The Scrambler","Monster 797","Demo Day","Demo Event",489
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",490
"The Scrambler","The Scrambler","Demo Day","Demo Event",491
"Multistrada 1200 S","The Scrambler","Demo Day","Demo Event",492
"Monster 797","Multistrada 1200 S","Demo Day","Demo Event",493
"Monster 797","Monster 797","Demo Day","Demo Event",494
"Monster 797","The Scrambler","Demo Day","Demo Event",495
"The Scrambler","Multistrada 1200 S","Demo Day","Demo Event",496
"The Scrambler","Monster 797","Demo Day","Demo Event",497
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",498
"Monster 797","Monster 797","Demo Day","Demo Event",499
"The Scrambler","The Scrambler","Demo Day","Demo Event",500
"Multistrada 1200 S","The Scrambler","Demo Day","Demo Event",501
"Monster 797","Multistrada 1200 S","Demo Day","Demo Event",502
"Monster 797","The Scrambler","Demo Day","Demo Event",503
"Monster 797","Multistrada 1200 S","Demo Day","Demo Event",504
"Monster 797","Monster 797","Demo Day","Demo Event",505
"The Scrambler","Monster 797","Demo Day","Demo Event",506
,,"VIP Club",,1745
,,"VIP Club",,1746
,,"VIP Club",,1747
,,"VIP Club",,1748
,,"VIP Club",,1749
,,"VIP Club",,1750
,,"VIP Club",,1751
,,"VIP Club",,1752
,,"VIP Club",,1753
,,"VIP Club",,1754
,,"VIP Club",,1755
,,"VIP Club",,1756
,,"VIP Club",,1757
,,"VIP Club",,1758
,,"VIP Club",,1759
,,"VIP Club",,1760
,,"VIP Club",,1761
,,"VIP Club",,1762
,,"VIP Club",,1763
,,"VIP Club",,1764
,,"VIP Club",,1765
,,"VIP Club",,1766
,,"VIP Club",,1767
,,"VIP Club",,1768
,,"VIP Club",,1769
,,"VIP Club",,1744
,,"VIP Club",,1770
,,"VIP Club",,1771
,,"VIP Club",,1772
,,"VIP Club",,1773
,,"VIP Club",,1774
,,"VIP Club",,1775
,,"VIP Club",,1776
,,"VIP Club",,1777
,,"VIP Club",,1778
,,"VIP Club",,1779
,,"VIP Club",,1780
,,"VIP Club",,1781
,,"VIP Club",,1782
,,"VIP Club",,1783
,,"VIP Club",,1784
,,"VIP Club",,1785
,,"VIP Club",,1786
,,"VIP Club",,1787
,,"VIP Club",,1788
,,"VIP Club",,1789
,,"VIP Club",,1790
,,"VIP Club",,1791
,,"VIP Club",,1792
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",507
"Monster 797","The Scrambler","Demo Day","Demo Event",508
"Monster 797","The Scrambler","Demo Day","Demo Event",509
"Monster 797","Multistrada 1200 S","Demo Day","Demo Event",510
"The Scrambler","Monster 797","Demo Day","Demo Event",511
"The Scrambler","The Scrambler","Demo Day","Demo Event",512
"Multistrada 1200 S","Multistrada 1200 S","Demo Day","Demo Event",513
"Monster 797","Monster 797","Demo Day","Demo Event",514
"The Scrambler","Monster 797","Demo Day","Demo Event",515
"Multistrada 1200 S","Monster 797","Demo Day","Demo Event",516
"Monster 797","Multistrada 1200 S","Demo Day","Demo Event",517
"Monster 797","The Scrambler","Demo Day","Demo Event",518
"Monster 797","Multistrada 1200 S","Demo Day","Demo Event",519
"The Scrambler","Monster 797","Demo Day","Demo Event",520
,"Monster 797","Other","Other",801
,"Monster 797","Other","Other",802
,"The Scrambler","Other","Other",803
,"The Scrambler","Other","Other",804
,"Multistrada 1200 S","Other","Other",805
,"Monster 797","Other","Other",806
,"The Scrambler","Other","Other",807
,"Multistrada 1200 S","Other","Other",808
,"Monster 797","Other","Other",809
,"Multistrada 1200 S","Other","Other",810
,"Monster 797","Other","Other",811
,"The Scrambler","Other","Other",812
,"Multistrada 1200 S","Other","Other",813
,"Monster 797","Other","Other",814
,"Monster 797","Other","Other",815
,"Monster 797","Other","Other",816
,"Multistrada 1200 S","Other","Other",817
,"The Scrambler","Other","Other",818
,"Multistrada 1200 S","Other","Other",819
,"Monster 797","Other","Other",820
,"Monster 797","Other","Other",821
,"Monster 797","Other","Other",822
,"The Scrambler","Other","Other",823
,"The Scrambler","Other","Other",824
,"Multistrada 1200 S","Other","Other",825
,"Monster 797","Other","Other",826
,"The Scrambler","Other","Other",827
,"Multistrada 1200 S","Other","Other",828
,"Monster 797","Other","Other",829
,"Monster 797","Other","Other",830
,"Monster 797","Other","Other",831
,"Monster 797","Other","Other",832
,"The Scrambler","Other","Other",833
,"The Scrambler","Other","Other",834
,"Multistrada 1200 S","Other","Other",835
,"Monster 797","Other","Other",836
,"The Scrambler","Other","Other",837
,"Multistrada 1200 S","Other","Other",838
,"Monster 797","Other","Other",839
,"Monster 797","Other","Other",840
,"Monster 797","Other","Other",841
,"The Scrambler","Other","Other",842
,"The Scrambler","Other","Other",843
,"Multistrada 1200 S","Other","Other",844
,"Monster 797","Other","Other",845
,"The Scrambler","Other","Other",846
,"Multistrada 1200 S","Other","Other",847
,"Monster 797","Other","Other",848
,"Monster 797","Other","Other",849
,"Monster 797","Other","Other",850
,"The Scrambler","Other","Other",851
,"The Scrambler","Other","Other",852
,"Multistrada 1200 S","Other","Other",853
,"The Scrambler","Other","Other",854
,"Multistrada 1200 S","Other","Other",855
,"Monster 797","Other","Other",856
,"Monster 797","Other","Other",857
,"Monster 797","Other","Other",858
,"The Scrambler","Other","Other",859
,"The Scrambler","Other","Other",860
,"Multistrada 1200 S","Other","Other",861
,"Monster 797","Other","Other",862
,"The Scrambler","Other","Other",863
,"Multistrada 1200 S","Other","Other",864
,"Monster 797","Other","Other",865
,"Monster 797","Other","Other",866
,"Monster 797","Other","Other",867
,"Multistrada 1200 S","Other","Other",868
,"The Scrambler","Other","Other",869
,"Multistrada 1200 S","Other","Other",870
,"Monster 797","Other","Other",871
,"Monster 797","Other","Other",872
